kategori,layer,id,berkas_dashboard,kind,status,sumber_gpkg,keterangan,skrip_pembuat
Alat Ukur,Alat Ukur Jarak (Ruler),ruler_measure_tool,-,analysis,Alat bantu peta,-,,
Aset PU,Aset BIM PU,setjen_nustra_aset_bim_pu,data/infra/setjen_nustra_aset_bim_pu.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/Aset_PU/infrastruktur_aset_bim_pu.gpkg,"46 fitur, sama persis",
Aset PU,Aset Tanah PU,setjen_nustra_aset_tanah_pu,data/infra/setjen_nustra_aset_tanah_pu.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/Aset_PU/infrastruktur_aset_tanah_pu.gpkg,"12 fitur, sama persis",
Batas Administrasi,Batas Desa/Kelurahan,administrasi_desa_ntb_ntt,data/administrasi_desa_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/administrasi/administrasi_ntb_ntt.gpkg,"4,503 fitur, sama persis",workspace/analisis/bersihkan_sliver_administrasi/01_bersihkan_sliver.py
Batas Administrasi,Batas Kabupaten/Kota,administrasi_kabkota_ntb_ntt,data/administrasi_kabkota_ntb_ntt.json,input,Olahan dari GPKG,workspace/administrasi/administrasi_ntb_ntt.gpkg,hasil dissolve dari batas desa,workspace/analisis/bersihkan_sliver_administrasi/01_bersihkan_sliver.py
Batas Administrasi,Batas Kecamatan,administrasi_kecamatan_ntb_ntt,data/administrasi_kecamatan_ntb_ntt.json,input,Olahan dari GPKG,workspace/administrasi/administrasi_ntb_ntt.gpkg,hasil dissolve dari batas desa,workspace/analisis/bersihkan_sliver_administrasi/01_bersihkan_sliver.py; workspace/analisis/fsn_sapi_ntb/01_siapkan_choropleth_kecamatan.py
Geologi,Formasi Geologi,geologi_ntt,data/geologi_ntt.json,input,Salinan GPKG (terverifikasi),workspace/geologi/geologi_peta_geologi_ntt.gpkg,"121 fitur, sama persis",
Guna Lahan,Lahan Baku Sawah -- Kepadatan (NTT),lbs_grid,data/lbs_density_grid.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Guna Lahan,Permukiman -- Kepadatan (NTT),permukiman_grid,data/permukiman_density_grid.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Guna Lahan,Tutupan Lahan (NTB+NTT),tutupan_lahan_ntb_ntt,data/tutupan_lahan_ntb_ntt.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/fisik_412_ntb_ntt/06_export_ke_webgis.py
Hidrografi,Daratan (Global),hidrografi_land_global,data/hidrografi_land_global.json,input,Salinan GPKG (terverifikasi),workspace/hidrografi/hidrografi_land_global.gpkg,"11 fitur, sama persis",workspace/hidrografi/export_land_global_ke_webgis.py
Hidrografi,Kedalaman Laut (Batimetri Global),hidrografi_laut_ntb_ntt,data/hidrografi_laut_ntb_ntt.json,input,Olahan dari GPKG,workspace/hidrografi/hidrografi_laut_indonesia.gpkg,95 fitur direklasifikasi jadi 4 kelas kedalaman,workspace/hidrografi/export_kedalaman_laut_ke_webgis.py
Jalan & Jembatan,Inpres Jalan Daerah,binamarga_nustra_inpres_jalan_daerah,data/infra/binamarga_nustra_inpres_jalan_daerah.json,input,Salinan GPKG (terverifikasi),workspace/jalan/Paket_Sumba_Timur/jalan_inpres_jalan_daerah.gpkg,"102 fitur, sama persis",
Jalan & Jembatan,Jalan Kabupaten/Kota,jalan_kabupaten_kota_ntb_ntt,data/jalan_kabupaten_kota_ntb_ntt.json,input,Olahan dari GPKG,workspace/jalan/geofabrik_nusa_tenggara/roads_ntb_ntt_clipped.gpkg,168.348 ruas OSM diagregasi jadi 5.708 per kabupaten,workspace/jalan/geofabrik_nusa_tenggara/export_jalan_kabkota_web.py
Jalan & Jembatan,Jalan Nasional,jalan_nasional_join_admin_ntt,data/infra/jalan_nasional_join_admin_ntt.json,input,Salinan GPKG (terverifikasi),workspace/jalan/Nasional/jalan_nasional_ntt__4.gpkg,"916 fitur, sama persis",
Jalan & Jembatan,Jalan Provinsi,jalan_provinsi_join_admin_ntt,data/infra/jalan_provinsi_join_admin_ntt.json,input,Salinan GPKG (terverifikasi),workspace/jalan/Provinsi/jalan_provinsi_ntt__2.gpkg,"836 fitur, sama persis",
Jalan & Jembatan,Jembatan Gantung,binamarga_nustra_jembatan_gantung,data/infra/binamarga_nustra_jembatan_gantung.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/BM/infrastruktur_jembatan_gantung.gpkg,"18 fitur, sama persis",
Jalan & Jembatan,Jembatan Nasional,binamarga_nustra_jembatan_nasional,data/infra/binamarga_nustra_jembatan_nasional.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/BM/infrastruktur_jembatan_nasional.gpkg,"1,137 fitur, sama persis",
Jalan & Jembatan,Lereng,binamarga_nustra_lereng,data/infra/binamarga_nustra_lereng.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/BM/infrastruktur_lereng.gpkg,"299 fitur, sama persis",
Jaringan Distribusi,Gravity Model (NTT) — Garis Lurus,gravity_flow_lines_ntt,data/gravity_flow_lines_ntt.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/gravity_model_distribusi_padi/04_export_ke_webgis.py
Jaringan Distribusi,Gravity Model (NTT) — Rute Jalan Riil,gravity_flow_routed_ntt,data/gravity_flow_routed_ntt.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/gravity_model_distribusi_padi/04_export_ke_webgis.py
Jaringan Distribusi,Simpul Distribusi Sapi Potong (NTB) — Pasar Hewan & Karantina/Pelabuhan,fsn_sapi_distribusi_ntb,data/fsn_sapi_distribusi_ntb.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/fsn_sapi_ntb/03_export_ke_webgis.py
